nu,I
1358762861.81647,0.0
1358794148.84777,0.0
1358825436.5995,0.0
1358856725.07167,0.0
1358888014.26428,0.0
1358919304.17737,0.0
1358950594.81093,-9.860761315262648e-32
1358981886.16501,0.0
1359013178.2396,0.0
1359044471.03472,-9.860761315262648e-32
1359075764.5504,0.0
1359107058.78664,-1.0168910106364605e-31
1359138353.74347,-9.860761315262648e-32
1359169649.4209,0.0
1359200945.81895,-1.0168910106364605e-31
1359232242.93763,-1.0168910106364605e-31
1359263540.77697,-1.0168910106364605e-31
1359294839.33697,0.0
1359326138.61765,-9.860761315262648e-32
1359357438.61903,-1.0168910106364605e-31
1359388739.34114,0.0
1359420040.78398,0.0
1359451342.94757,0.0
1359482645.83192,0.0
1359513949.43706,0.0
1359545253.763,-1.0168910106364605e-31
1359576558.80976,-9.860761315262648e-32
1359607864.57735,0.0
1359639171.06579,-9.860761315262648e-32
1359670478.27509,0.0
1359701786.20528,0.0
1359733094.85638,0.0
1359764404.22839,0.0
1359795714.32133,0.0
1359827025.13522,-1.0168910106364605e-31
1359858336.67008,0.0
1359889648.92592,0.0
1359920961.90276,0.0
1359952275.60061,-9.860761315262648e-32
1359983590.0195,0.0
1360014905.15944,0.0
1360046221.02044,-9.860761315262648e-32
1360077537.60253,0.0
1360108854.90572,0.0
1360140172.93002,0.0
1360171491.67546,0.0
1360202811.14204,0.0
1360234131.32979,0.0
1360265452.23872,0.0
1360296773.86885,-9.860761315262648e-32
1360328096.2202,0.0
1360359419.29277,0.0
1360390743.0866,0.0
1360422067.60169,0.0
1360453392.83807,0.0
1360484718.79574,0.0
1360516045.47473,0.0
1360547372.87505,0.0
1360578700.99671,0.0
1360610029.83975,-9.860761315262648e-32
1360641359.40416,-1.0168910106364605e-31
1360672689.68997,0.0
1360704020.6972,-9.860761315262648e-32
1360735352.42586,-1.0168910106364605e-31
1360766684.87597,0.0
1360798018.04754,-9.860761315262648e-32
1360829351.94059,-9.860761315262648e-32
1360860686.55514,0.0
1360892021.89121,0.0
1360923357.9488,0.0
1360954694.72795,-1.0168910106364605e-31
1360986032.22865,-9.860761315262648e-32
1361017370.45095,0.0
1361048709.39483,-9.860761315262648e-32
1361080049.06033,0.0
1361111389.44746,-1.0168910106364605e-31
1361142730.55624,0.0
1361174072.38668,-9.860761315262648e-32
1361205414.93881,-9.860761315262648e-32
1361236758.21263,9.860761315262648e-32
1361268102.20816,0.0
1361299446.92543,1.0168910106364605e-31
1361330792.36444,4.005934284325451e-31
1361362138.52522,4.992010415851715e-31
1361393485.40777,1.1000911842339891e-30
1361424833.01213,1.7995889400354332e-30
1361456181.33829,3.3002735527019674e-30
1361487530.38629,5.6021450222335916e-30
1361518880.15614,9.69744245597861e-30
1361550230.64784,1.639967866244619e-29
1361581581.86143,2.769949483215498e-29
1361612933.79692,4.629935586306915e-29
1361644286.45431,7.639932977790838e-29
1361675639.83364,1.2539806905103068e-28
1361706993.93491,2.0349838015582187e-28
1361738348.75815,3.272016308557918e-28
1361769704.30337,5.20999487067724e-28
1361801060.57058,8.2210091531718e-28
1361832417.5598,1.2844997467810447e-27
1361863775.27106,1.988299259706272e-27
1361895133.70437,3.0483002862178965e-27
1361926492.85973,4.629501096511461e-27
1361957852.73717,6.964101049146024e-27
1361989213.33671,1.0376802688281541e-26
1362020574.65837,1.531559888939786e-26
1362051936.70215,2.2391000200402e-26
1362083299.46808,3.2425199981248473e-26
1362114662.95617,4.651170119501751e-26
1362146027.16644,6.608580236239172e-26
1362177392.09891,9.300860200359839e-26
1362208757.75359,1.2966009963266515e-25
1362240124.1305,1.7904260124725e-25
1362271491.22965,2.4489169911575675e-25
1362302859.05107,3.317862993846858e-25
1362334227.59476,4.452558979172806e-25
1362365596.86076,5.918710990009137e-25
1362396966.84906,7.793104990421954e-25
1362428337.5597,1.0163877974976152e-24
1362459708.99267,1.3130263992501789e-24
1362491081.14802,1.680166100992487e-24
1362522454.02574,2.129586300102304e-24
1362553827.62585,2.6736348021359734e-24
1362585201.94838,3.3248513985911584e-24
1362616576.99333,4.095483700444776e-24
1362647952.76074,4.996897899116137e-24
1362679329.2506,6.038895400300364e-24
1362710706.46294,7.228959199877426e-24
1362742084.39778,8.571458900090444e-24
1362773463.05513,1.0066857398971923e-23
1362804842.43501,1.1710968199371903e-23
1362836222.53744,1.3494319701083405e-23
1362867603.36242,1.540168120020898e-23
1362898984.90998,1.741181149829544e-23
1362930367.18014,1.949747289845195e-23
1362961750.17292,2.1625752302553336e-23
1362993133.88832,2.3758707100350692e-23
1363024518.32636,2.5854335902874602e-23
1363055903.48707,2.786785280239759e-23
1363087289.37045,2.9753216298883495e-23
1363118675.97653,3.146484680117104e-23
1363150063.30532,3.2959443299682843e-23
1363181451.35684,3.4197802300946575e-23
1363212840.13111,3.514652989919681e-23
1363244229.62814,3.5779544100339286e-23
1363275619.84794,3.607927270107248e-23
1363307010.79054,3.603747029918492e-23
1363338402.45595,3.5655600700041947e-23
1363369794.84419,3.494476129995389e-23
1363401187.95527,3.392515329828545e-23
1363432581.78922,3.262513580084507e-23
1363463976.34604,3.1079921401400274e-23
1363495371.62576,2.933000290029132e-23
1363526767.62838,2.741940270190448e-23
1363558164.35394,2.539385430231475e-23
1363589561.80245,2.3299017999933285e-23
1363620959.97391,2.1178824299932386e-23
1363652358.86835,1.9074029599291197e-23
1363683758.48579,1.702103910155452e-23
1363715158.82623,1.505103980014971e-23
1363746559.88971,1.3189456001043212e-23
1363777961.67622,1.145572349898049e-23
1363809364.1858,9.863355401149293e-24
1363840767.41847,8.420260497266162e-24
1363872171.37422,7.129262200629568e-24
1363903576.05308,5.988764999999359e-24
1363934981.45507,4.993509402564543e-24
1363966387.58021,4.135363099801466e-24
1363997794.42851,3.404101702495415e-24
1364029201.99998,2.7881392998945566e-24
1364060610.29465,2.2751833005429385e-24
1364092019.31253,1.8527911985977355e-24
1364123429.05364,1.5088224986833062e-24
1364154839.51799,1.2317836977072947e-24
1364186250.7056,1.0110713002417573e-24
1364217662.61649,8.371242997894638e-25
1364249075.25068,7.014961007117403e-25
1364280488.60818,5.968659012448128e-25
1364311902.689,5.169985016529837e-25
1364343317.49317,4.566711004018175e-25
1364374733.0207,4.11577299646737e-25
1364406149.2716,3.782192993784559e-25
1364437566.24591,3.537969022284241e-25
1364468983.94362,3.3610000035561226e-25
1364500402.36476,3.234073978724413e-25
1364531821.50934,3.143965016785741e-25
1364563241.37739,3.0806420117731234e-25
1364594661.96891,3.0365889989674293e-25
1364626083.28392,3.0062499940353323e-25
1364657505.32245,2.985562024351274e-25
1364688928.0845,2.971592992538161e-25
1364720351.57011,2.962253988755992e-25
1364751775.77926,2.956067008143126e-25
1364783200.712,2.9520079798220937e-25
1364814626.36833,2.9493669906079544e-25
1364846052.74828,2.947662989422919e-25
1364877479.85184,2.94656998566088e-25
1364908907.67906,2.9458710117580236e-25
1364940336.22993,2.945426014088793e-25
1364971765.50448,2.9451399903808924e-25
1365003195.50272,2.944955008661594e-25
1365034626.22469,2.9448330125551966e-25
1365066057.67037,2.9447459913365894e-25
1365097489.8398,2.9446839917998197e-25
1365128922.73298,2.9446369991091767e-25
1365160356.34995,2.9445970013960916e-25
1365191790.69071,2.944560978802412e-25
1365223225.75528,2.944530009848906e-25
1365254661.54368,2.944499010080521e-25
1365286098.05592,2.9444699824643994e-25
1365317535.29203,2.944441016478036e-25
1365348973.25201,2.944412019676793e-25
1365380411.93589,2.94438200598454e-25
1365411851.34367,2.9443550121504393e-25
1365443291.47539,2.9443259845343175e-25
1365474732.33105,2.9442969877330748e-25
1365506173.91066,2.9442690078228427e-25
1365537616.21426,2.9442389941305894e-25
1365569059.24185,2.944210983405478e-25
1365600502.99345,2.944183003495246e-25
1365631947.46908,2.9441540066940035e-25
1365663392.66875,2.9441249790778816e-25
1365694838.59248,2.944095982276639e-25
1365726285.2403,2.944068002366407e-25
1365757732.6122,2.9440380194890327e-25
1365789180.70821,2.9440100087639215e-25
1365820629.52836,2.9439809811477997e-25
1365852079.07264,2.9439509982704255e-25
1365883529.34109,2.9439230183601934e-25
1365914980.33372,2.9438939907440716e-25
1365946432.05054,2.9438640078666974e-25
1365977884.49157,2.9438359971415862e-25
1366009337.65683,2.943806014264212e-25
1366040791.54633,2.9437770174629693e-25
1366072246.1601,2.9437479898468475e-25
1366103701.49814,2.9437200099366155e-25
1366135157.56047,2.943689996244362e-25
1366166614.34712,2.943660013366988e-25
1366198071.85809,2.943630985750866e-25
1366229530.09341,2.943601002873492e-25
1366260989.05309,2.94357302296326e-25
