nu,I
1358137272.45269,-9.860761315262648e-32
1358168545.07911,-1.0168910106364605e-31
1358199818.42561,-1.0168910106364605e-31
1358231092.49222,-9.860761315262648e-32
1358262367.27894,0.0
1358293642.78581,0.0
1358324919.01282,-1.0168910106364605e-31
1358356195.96002,0.0
1358387473.62739,0.0
1358418752.01496,0.0
1358450031.12276,0.0
1358481310.95079,-1.0168910106364605e-31
1358512591.49908,0.0
1358543872.76764,0.0
1358575154.75648,-9.860761315262648e-32
1358606437.46562,-1.0168910106364605e-31
1358637720.89509,0.0
1358669005.04489,0.0
1358700289.91504,0.0
1358731575.50556,-1.0168910106364605e-31
1358762861.81647,0.0
1358794148.84778,-9.860761315262648e-32
1358825436.59951,-9.860761315262648e-32
1358856725.07167,-1.0168910106364605e-31
1358888014.26428,0.0
1358919304.17737,0.0
1358950594.81094,0.0
1358981886.16501,-9.860761315262648e-32
1359013178.2396,0.0
1359044471.03472,0.0
1359075764.55039,0.0
1359107058.78664,0.0
1359138353.74347,0.0
1359169649.4209,0.0
1359200945.81895,-1.0168910106364605e-31
1359232242.93763,0.0
1359263540.77696,0.0
1359294839.33696,-9.860761315262648e-32
1359326138.61765,0.0
1359357438.61903,-1.0168910106364605e-31
1359388739.34114,0.0
1359420040.78398,0.0
1359451342.94757,0.0
1359482645.83192,0.0
1359513949.43706,0.0
1359545253.763,-1.0168910106364605e-31
1359576558.80976,0.0
1359607864.57735,9.860761315262648e-32
1359639171.06579,0.0
1359670478.2751,-1.0168910106364605e-31
1359701786.20529,0.0
1359733094.85638,0.0
1359764404.22839,-1.0168910106364605e-31
1359795714.32133,0.0
1359827025.13522,-1.0168910106364605e-31
1359858336.67008,0.0
1359889648.92592,0.0
1359920961.90275,-9.860761315262648e-32
1359952275.60061,0.0
1359983590.0195,-1.0168910106364605e-31
1360014905.15944,0.0
1360046221.02044,0.0
1360077537.60253,-9.860761315262648e-32
1360108854.90572,0.0
1360140172.93002,-1.0168910106364605e-31
1360171491.67545,-1.0168910106364605e-31
1360202811.14204,0.0
1360234131.32979,-1.0168910106364605e-31
1360265452.23872,0.0
1360296773.86885,0.0
1360328096.2202,-9.860761315262648e-32
1360359419.29277,-9.860761315262648e-32
1360390743.0866,0.0
1360422067.6017,-9.860761315262648e-32
1360453392.83807,0.0
1360484718.79574,-1.0168910106364605e-31
1360516045.47473,0.0
1360547372.87504,0.0
1360578700.99672,-9.860761315262648e-32
1360610029.83975,0.0
1360641359.40416,9.860761315262648e-32
1360672689.68997,2.0029671421627253e-31
1360704020.6972,3.019858152799186e-31
1360735352.42586,5.022825294961911e-31
1360766684.87597,9.98402083170343e-31
1360798018.04754,1.9012780410990792e-30
1360829351.94059,3.198584451638321e-30
1360860686.55514,5.5004559211699456e-30
1360892021.89121,9.601916330737003e-30
1360923357.9488,1.639967866244619e-29
1360954694.72795,2.769949483215498e-29
1360986032.22866,4.6197666762005504e-29
1361017370.45095,7.639932977790838e-29
1361048709.39483,1.251977723368144e-28
1361080049.06033,2.0319947582845297e-28
1361111389.44746,3.2680103742735924e-28
1361142730.55625,5.202999893119226e-28
1361174072.38669,8.208991350318824e-28
1361205414.93881,1.2827001578410093e-27
1361236758.21263,1.9854981871951553e-27
1361268102.20817,3.044100218195177e-27
1361299446.92543,4.62299915701921e-27
1361330792.36444,6.954400525202135e-27
1361362138.52522,1.0362399813785436e-26
1361393485.40777,1.5294499941671108e-26
1361424833.01213,2.2360099039630296e-26
1361456181.3383,3.2380499917611223e-26
1361487530.38629,4.6447399786778263e-26
1361518880.15613,6.599459956468927e-26
1361550230.64784,9.288019948383412e-26
1361581581.86143,1.2948100047378878e-25
1361612933.79692,1.787953981240522e-25
1361644286.45431,2.445536013436476e-25
1361675639.83364,3.313283009179589e-25
1361706993.93491,4.446411010196894e-25
1361738348.75815,5.91053897651375e-25
1361769704.30337,7.782346006195508e-25
1361801060.57058,1.0149845988365017e-24
1361832417.5598,1.3112135999714689e-24
1361863775.27106,1.677846400033902e-24
1361895133.70437,2.1266461014934926e-24
1361926492.85973,2.6699435000933147e-24
1361957852.73717,3.32026099849475e-24
1361989213.33671,4.089829499847261e-24
1362020574.65836,4.989999202647903e-24
1362051936.70215,6.030558200564019e-24
1362083299.46808,7.218978898401631e-24
1362114662.95617,8.559625200732711e-24
1362146027.16644,1.0052959001024706e-23
1362177392.09891,1.1694800100688946e-23
1362208757.75359,1.3475689398033418e-23
1362240124.1305,1.538041759933868e-23
1362271491.22965,1.7387772801857112e-23
1362302859.05107,1.9470554801161295e-23
1362334227.59477,2.1595895800079834e-23
